Date,Open,Close,PercentChange
07/03/2019,2978.08,2995.82,0.005957
07/05/2019,2984.25,2990.41,0.002064
07/08/2019,2979.77,2975.95,-0.001282
07/09/2019,2965.52,2979.63,0.004758
07/10/2019,2989.30,2993.07,0.001261
07/11/2019,2999.62,2999.91,0.000097
07/12/2019,3003.36,3013.77,0.003466
07/15/2019,3017.80,3014.30,-0.001160
07/16/2019,3012.13,3004.04,-0.002686
07/17/2019,3005.10,2984.42,-0.006882
07/18/2019,2978.87,2995.11,0.005452
07/19/2019,3004.26,2976.61,-0.009204
07/22/2019,2981.93,2985.03,0.001040
07/23/2019,2994.74,3005.47,0.003583
07/24/2019,2998.77,3019.56,0.006933
07/25/2019,3016.26,3003.67,-0.004174
07/26/2019,3013.25,3025.86,0.004185
07/29/2019,3024.47,3020.97,-0.001157
07/30/2019,3007.66,3013.18,0.001835
07/31/2019,3016.22,2980.38,-0.011882
08/01/2019,2980.32,2953.56,-0.008979
08/02/2019,2943.90,2932.05,-0.004025
08/05/2019,2898.07,2844.74,-0.018402
08/06/2019,2861.18,2881.77,0.007196
08/07/2019,2858.65,2883.98,0.008861
08/08/2019,2896.21,2938.09,0.014460
08/09/2019,2930.51,2918.65,-0.004047
08/12/2019,2907.07,2882.70,-0.008383
08/13/2019,2880.72,2926.32,0.015829
08/14/2019,2894.15,2840.60,-0.018503
08/15/2019,2846.20,2847.60,0.000492
08/16/2019,2864.74,2888.68,0.008357
08/19/2019,2913.48,2923.65,0.003491
08/20/2019,2919.01,2900.51,-0.006338
08/21/2019,2922.04,2924.43,0.000818
08/22/2019,2930.94,2922.95,-0.002726
08/23/2019,2911.07,2847.11,-0.021971
08/26/2019,2866.70,2878.38,0.004074
08/27/2019,2893.14,2869.16,-0.008289
08/28/2019,2861.28,2887.94,0.009318
08/29/2019,2910.37,2924.58,0.004883
08/30/2019,2937.09,2926.46,-0.003619
09/03/2019,2909.01,2906.27,-0.000942
09/04/2019,2924.67,2937.78,0.004483
09/05/2019,2960.60,2976.00,0.005202
09/06/2019,2980.33,2978.71,-0.000544
09/09/2019,2988.43,2978.43,-0.003346
09/10/2019,2971.01,2979.39,0.002821
09/11/2019,2981.41,3000.93,0.006547
09/12/2019,3009.08,3009.57,0.000163
09/13/2019,3012.21,3007.39,-0.001600
09/16/2019,2996.41,2997.96,0.000517
09/17/2019,2995.67,3005.70,0.003348
09/18/2019,3001.50,3006.73,0.001742
09/19/2019,3010.36,3006.79,-0.001186
09/20/2019,3008.42,2992.07,-0.005435
09/23/2019,2983.50,2991.78,0.002775
09/24/2019,3002.43,2966.60,-0.011934
09/25/2019,2968.35,2984.87,0.005565
